"request_index","input_tokens","output_tokens","reasoning_tokens","actual_cny","settled_at","reservation_id","trial_id"
18,12919,162,74,"0.160860","2026-07-22T15:34:34.831308Z","b2f4ede9f0c64937830b48ad81d7b901","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
19,13079,251,175,"0.165984","2026-07-22T15:34:41.871200Z","0394e47b681c42d5bdb91d2829edf62b","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
20,13808,428,22,"0.181104","2026-07-22T15:34:52.512917Z","60ec929383da4e3e8af23086c2c55760","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
21,14351,413,16,"0.187080","2026-07-22T15:35:02.126585Z","8cc944983861450bb8991b364e8d1e4f","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
22,14891,497,100,"0.196584","2026-07-22T15:35:13.601507Z","410fa48f24114b54a0801968ce044ba3","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
23,15431,342,81,"0.197484","2026-07-22T15:35:23.006770Z","8a8b4a4e6458459b9bb1f12def73fae9","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
24,15775,152,66,"0.194772","2026-07-22T15:35:28.146680Z","b2acf00b1d554d52b015b47251ba378d","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
25,15944,309,116,"0.202452","2026-07-22T15:35:36.518045Z","6bfb28e602e04dedae401b3e41ad6271","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
26,16273,218,34,"0.203124","2026-07-22T15:35:43.277794Z","a389395d3edc45389eb92154a6f5638e","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
27,16540,279,90,"0.208524","2026-07-22T15:35:52.136451Z","ce40d9f4a9044b2896e4c3189cf828ae","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
28,16866,91,58,"0.205668","2026-07-22T15:35:56.520544Z","856fbf64d3594d35b7500a695dbb8c81","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
29,16982,288,125,"0.214152","2026-07-22T15:36:04.131394Z","f4969c286338427bb67d000dcd9ba5ca","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
30,17282,311,50,"0.218580","2026-07-22T15:36:12.044911Z","c8328a5b89554c09831189b33c090c1b","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
31,17626,180,87,"0.217992","2026-07-22T15:36:18.160624Z","ef662e47a76242f991c7dfa84d25f767","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
32,17802,303,163,"0.224532","2026-07-22T15:36:28.727989Z","93889b9f84a7400681dfc241d5cb81d2","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
33,18081,121,70,"0.221328","2026-07-22T15:36:35.888555Z","619b7d876176461ba11ac7d0642d2955","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
34,18264,127,42,"0.223740","2026-07-22T15:36:42.372995Z","7d4b646d330f4d698d3c6380cd0bfdb2","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
35,18432,195,107,"0.228204","2026-07-22T15:36:49.155794Z","c0a0dea6c58b43f4835554ac4bbe89f8","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
36,18597,387,295,"0.237096","2026-07-22T15:36:59.458374Z","856e0395a4574d6799c51eeb5d61658f","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
37,19436,2275,222,"0.315132","2026-07-22T15:37:43.256913Z","d7803233a46946469aa6f952ef78f765","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
38,19556,150,80,"0.240072","2026-07-22T15:37:49.533637Z","08d8c472fcd143089eaf5f80a6529bd7","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
39,19709,336,184,"0.248604","2026-07-22T15:37:59.633661Z","afcb0280b9774fe9ab3d70fe50249938","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
40,20007,241,168,"0.248760","2026-07-22T15:38:06.832065Z","f1cdce7eadfd45f6b49043ac348da56b","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
